n;PMID
1772;26830308
1773;23822707
1774;28193268
1775;28855420
1776;20585723
1777;17713628
1778;23610902
1779;33156997
1780;31425943
1781;29799883
1782;29280650
1783;26545506
1784;18482457
1785;41020710
1786;40769236
1787;25791185
1788;19124394
1789;32852713
1790;24160220
1791;28662815
1792;17928769
1793;26426593
1794;21663691
1795;18353700
1796;40261190
1797;20471000
1798;24411818
1799;19848311
1800;18041024
1801;23323877
1802;36151232
1803;30864458
1804;18700035
1805;34181956
1806;24360775
1807;23137347
1808;15019727
1809;31115307
1810;32406484
1811;24601861
1812;22462579
1813;21501994
1814;25726220
1815;21426454
1816;24284379
1817;14999325
1818;22689113
1819;17406734
1820;25742179
1821;25341516
1822;26503702
1823;28074977
1824;30888909
1825;35955475
1826;31877968
1827;26762308
1828;33586993
1829;32187300
1830;26535853
1831;22305369
1832;35963981
1833;28526378
1834;25256874
1835;31357451
1836;27563665
1837;29974766
1838;35843102
1839;19762406
1840;33335156
1841;30367807
1842;32686449
1843;16802403
1844;30876752
1845;25174769
1846;19913002
1847;27267524
1848;38944462
1849;30070875
1850;21448907
1851;39201737
1852;39099652
1853;8000015
1854;16978815
1855;28486047
1856;23564340
1857;15609891
1858;27493111
1859;18682591
1860;17547681
1861;17923940
1862;18036678
1863;21808917
1864;21404150
1865;22658649
1866;18996294
1867;36509338
1868;25581987
1869;17683527
1870;29660809
1871;19466210
1872;19157261
1873;40220550
1874;18200397
1875;27253181
1876;35172790
1877;34965850
1878;26262705
1879;21341338
1880;19196695
1881;39107169
1882;28664654
1883;20717127
1884;37796781
1885;33770443
1886;23757901
1887;22502649
1888;26299057
1889;23279632
1890;31860177
1891;25397885
1892;39201291
1893;21651701
1894;33798206
1895;30641764
1896;29576524
1897;28424971
1898;35455971
1899;8915886
1900;18056567
1901;29800346
1902;15157941
1903;20415664
1904;37510560
1905;23712988
1906;22530684
1907;12401749
1908;39070357
1909;29974212
1910;28284912
1911;22569616
1912;40901600
1913;32182376
1914;28538842
1915;23420160
1916;19014793
1917;26149124
1918;14658168
1919;23710466
1920;22956568
1921;22846983
1922;21279281
1923;31336504
1924;25156029
1925;24669025
1926;40698903
1927;26083812
1928;23791773
1929;21824828
1930;15503647
1931;14715048
1932;23103106
1933;17293706
1934;12229282
1935;37057371
1936;25627057
1937;24397782
1938;23591026
1939;21919947
1940;21164350
1941;19627713
1942;18556187
1943;18507788
1944;18374423
1945;17273153
1946;12942870
1947;18782961
1948;35830158
1949;21932717
1950;20887511
1951;7677211
1952;18996755
1953;17203707
1954;29686012
1955;26741699
1956;16599068
1957;25591092
1958;30602212
1959;23176759
1960;22067278
1961;31396301
1962;26741362
1963;23656385
1964;20937002
1965;38930969
1966;17980869
1967;23211876
1968;20484482
1969;26133655
1970;32534888
1971;19908936
1972;17021775
1973;22468900
1974;38987727
1975;26306958
1976;33000694
1977;18783110
1978;22151802
1979;35213542
1980;37510665
1981;19400514
1982;40347681
1983;33523760
1984;38012598
1985;36129333
1986;34099255
1987;33735055
1988;27004567
1989;39045954
1990;21584434
1991;21537705
1992;25726206
1993;19124169
1994;33123088
1995;34817500
1996;35655186
1997;38751589
1998;29066311
1999;28956700
2000;28538860
2001;28284909
2002;28117050
2003;20200303
2004;39098208
2005;37772082
2006;35260150
2007;29652981
2008;28538861
2009;35063452
2010;39166637
2011;37420190
2012;28487105
2013;35543890
2014;18645340
2015;31083270
2016;36820931
2017;39073314
2018;32341487
2019;31783261
2020;29518910
2021;26654349
2022;38057022
2023;35956300
2024;24626602
2025;17064712
2026;29980231
2027;29898045
2028;25184912
2029;40901607
2030;39133895
2031;33061322
2032;30641780
2033;19099161
2034;38765525
2035;35026881
2036;34039502
2037;25184914
2038;23180816
2039;22011627
2040;19198738
2041;34227853
2042;33420216
2043;23574292
2044;39930422
2045;38752644
2046;24160219
2047;24141291
2048;41007724
2049;28421790
2050;24783905
2051;34091827
2052;28927241
2053;27073909
2054;19838483
2055;32471756
2056;30530900
2057;25880653
2058;22622762
2059;21936688
2060;19154617
2061;17543961
2062;26537270
2063;31357596
2064;26107367
2065;25837218
